,extracted_reference,top_match,top_names,top_scores,top_indexes,second_match,second_names,second_scores,second_indexes,third_match
10,binder-amy-j-2009-contentious-curricula-afrocentrism-and-creationism-in-american-public-schools-princeton-n-j-princeton-university-press,"('yamane-contentious-curricula-afrocentrism-and-creationism-in-american-public-schools-by-amy-j-binder-princeton-n-j-princeton-university-press-2002-pp-xi-307-35-00', 81.20805369127517, 27726)",yamane-contentious-curricula-afrocentrism-and-creationism-in-american-public-schools-by-amy-j-binder-princeton-n-j-princeton-university-press-2002-pp-xi-307-35-00,81.20805369127517,27726,"('binder-contentious-curricula-afrocentrism-and-creationism-in-american-public-schools', 76.36363636363637, 245227)",binder-contentious-curricula-afrocentrism-and-creationism-in-american-public-schools,76.36363636363637,245227,"('bin-the-contentious-public-sphere-law-media-and-authoritarian-rule-in-china-by-ya-wen-lei-princeton-n-j-princeton-university-press-2017-pp-xv-284-39-50', 61.3240418118467, 29747)"
11,bobo-lawrence-james-r-kluegel-and-ryan-a-smith-1997-laissez-faire-racism-the-crystallization-of-a-kinder-gentler-antiblack-ideology-racial-attitudes-in-the,"('yancey-an-examination-of-the-effects-of-residential-and-church-integration-on-racial-attitudes-of-whites', 50.19305019305019, 110730)",yancey-an-examination-of-the-effects-of-residential-and-church-integration-on-racial-attitudes-of-whites,50.19305019305019,110730,"('brown-race-religion-and-black-lives-matter-assessing-the-association-between-sermon-content-and-racial-justice-attitudes-and-behaviors', 49.82698961937716, 106453)",brown-race-religion-and-black-lives-matter-assessing-the-association-between-sermon-content-and-racial-justice-attitudes-and-behaviors,49.82698961937716,106453,"('kaiser-post-hurricane-katrina-racialized-explanations-as-a-system-threat-implications-for-whites-and-blacks-racial-attitudes', 49.46236559139785, 117181)"
12,1990s-continuity-and-change-15-23-25-american-journal-of-sociology,"('kissinger-continuity-and-change-in-american-foreign-policy', 66.12903225806453, 199170)",kissinger-continuity-and-change-in-american-foreign-policy,66.12903225806453,199170,"('haggerty-change-and-continuity-at-the-canadian-journal-of-sociology', 63.1578947368421, 213502)",haggerty-change-and-continuity-at-the-canadian-journal-of-sociology,63.1578947368421,213502,"('hage-continuity-and-change-in-australian-racism', 60.17699115044248, 194339)"
13,bonilla-silva-eduardo-2014-racism-without-racists-color-blind-racism-and-the-persistence-of-racial-inequality-in-the-united-states-4th-ed-lanham-rowman-littlefield,"('marx-racism-without-racists-colorblind-racism-and-the-persistence-of-racial-inequality-in-the-united-states', 77.77777777777779, 246648)",marx-racism-without-racists-colorblind-racism-and-the-persistence-of-racial-inequality-in-the-united-states,77.77777777777779,246648,"('cutler-a-review-ofracism-without-racists-color-blind-racism-and-the-persistence-of-racial-inequality-in-america-4th-ed', 72.59786476868328, 222825)",cutler-a-review-ofracism-without-racists-color-blind-racism-and-the-persistence-of-racial-inequality-in-america-4th-ed,72.59786476868328,222825,"('erigha-on-the-margins-black-directors-and-the-persistence-of-racial-inequality-in-twenty-first-century-hollywood', 56.72727272727273, 94134)"
14,bonilla-silva-eduardo-2019-feeling-race-theorizing-the-racial-economy-of-emotions-american-sociological-review-84-1-1-25,"('bonilla-silva-feeling-race-theorizing-the-racial-economy-of-emotions', 72.34042553191489, 4790)",bonilla-silva-feeling-race-theorizing-the-racial-economy-of-emotions,72.34042553191489,4790,"('bonilla-silva-what-we-were-what-we-are-and-what-we-should-be-the-racial-problem-of-american-sociology', 56.10859728506787, 49670)",bonilla-silva-what-we-were-what-we-are-and-what-we-should-be-the-racial-problem-of-american-sociology,56.10859728506787,49670,"('bonilla-silva-towards-a-new-radical-agenda-a-critique-of-mainstreamed-sociological-radicalism', 55.39906103286385, 247342)"
15,breidenstein-georg-2007-the-meaning-of-boredom-in-school-lessons-participant-observation-in-the-seventh-and-eighth-form-ethnography-and-education-2-1-93,"('alexander-the-meaning-of-difference-american-constructions-of-race-sex-and-gender-social-class-and-sexual-orientation', 50.557620817843876, 121819)",alexander-the-meaning-of-difference-american-constructions-of-race-sex-and-gender-social-class-and-sexual-orientation,50.557620817843876,121819,"('gans-participant-observation-in-the-era-of-ethnography', 50.48543689320388, 165904)",gans-participant-observation-in-the-era-of-ethnography,50.48543689320388,165904,"('takashiro-determinants-of-middle-school-students-participation-in-shadow-education-in-japan', 50.20576131687242, 61173)"
16,108,"('-contents-1992a2008', 27.27272727272727, 189354)",-contents-1992a2008,27.27272727272727,189354,"('-index-to-volume-108', 26.086956521739136, 30402)",-index-to-volume-108,26.086956521739136,30402,"('-contents-of-volume-108', 23.076923076923073, 30458)"
17,brissett-dennis-and-robert-p-snow-1993-boredom-where-the-future-isnt-symbolic-interaction-16-3-237-56,"('carter-symbols-meaning-and-action-the-past-present-and-future-of-symbolic-interactionism', 53.968253968253975, 139919)",carter-symbols-meaning-and-action-the-past-present-and-future-of-symbolic-interactionism,53.968253968253975,139919,"('wasson-product-review-studies-in-symbolic-interaction-vol-25', 53.41614906832298, 252338)",wasson-product-review-studies-in-symbolic-interaction-vol-25,53.41614906832298,252338,"('plummer-queers-bodies-and-postmodern-sexualities-a-note-on-revisiting-the-sexual-in-symbolic-interactionism', 51.92307692307692, 113691)"
18,brustein-william-i-2003-roots-of-hate-anti-semitism-in-europe-before-the-holocaust-cambridge-cambridge-university-press,"('olick-roots-of-hate-anti-semitism-in-europe-before-the-holocaust-by-william-i-brustein-cambridge-cambridge-university-press-2003-pp-xv-384', 76.26459143968872, 29160)",olick-roots-of-hate-anti-semitism-in-europe-before-the-holocaust-by-william-i-brustein-cambridge-cambridge-university-press-2003-pp-xv-384,76.26459143968872,29160,"('sznaider-roots-of-hate-anti-semitism-in-europe-before-the-holocaust', 67.74193548387098, 249872)",sznaider-roots-of-hate-anti-semitism-in-europe-before-the-holocaust,67.74193548387098,249872,"('kinsey-book-review-krahmann-e-2010-states-citizens-and-the-privatisation-of-security-cambridge-cambridge-university-press', 61.66666666666667, 178482)"
19,carrim-nazir-and-crain-soudien-1999-critical-antiracism-in-south-africa-pp-153-71-in-critical-multiculturalism-rethinking-multicultural-and-antiracist-education-edited-by-stephen-may-london-routledge,"('lund-waking-up-the-neighbors-surveying-multicultural-and-antiracist-education-in-canada-the-united-kingdom-and-the-united-states', 49.54128440366973, 222453)",lund-waking-up-the-neighbors-surveying-multicultural-and-antiracist-education-in-canada-the-united-kingdom-and-the-united-states,49.54128440366973,222453,"('ihrig-citizenship-and-immigration-in-post-war-britain-the-institutional-origins-of-a-multicultural-nation-and-immigration-and-the-nation-state-the-united-states-germany-and-great-britain', 48.83116883116884, 119892)",ihrig-citizenship-and-immigration-in-post-war-britain-the-institutional-origins-of-a-multicultural-nation-and-immigration-and-the-nation-state-the-united-states-germany-and-great-britain,48.83116883116884,119892,"('boulanger-review-of-constitutional-politics-and-the-judiciary-decision-making-in-central-and-eastern-europe-edited-by-pocza-kalman-abingdon-oxon-new-york-ny-routledge-2018', 48.108108108108105, 65523)"
20,charmaz-kathy-and-melinda-j-milligan-2006-grief-pp-516-43-in-handbook-of-the-sociology-of-emotions-edited-by-jan-e-stets-and-jonathan-h-turner-new-york-springer,"('emerson-the-sage-handbook-of-the-sociology-of-religion-edited-by-james-a-beckford-and-n-j-demerath-iii', 54.961832061068705, 105808)",emerson-the-sage-handbook-of-the-sociology-of-religion-edited-by-james-a-beckford-and-n-j-demerath-iii,54.961832061068705,105808,"('denzin-handbook-of-sociological-theory-edited-by-jonathan-h-turner-new-york-kluwer-academic-plenum-publishers-2001-pp-xi-745', 50.70422535211267, 25860)",denzin-handbook-of-sociological-theory-edited-by-jonathan-h-turner-new-york-kluwer-academic-plenum-publishers-2001-pp-xi-745,50.70422535211267,25860,"('cummings-book-review-the-international-handbook-on-the-sociology-of-education-an-international-assessment-of-new-research-and-theory', 50.0, 132985)"
21,clark-anna-2008-historys-children-history-wars-in-the-classroom-sydney-university-of-new-south-wales-press,"('bonanno-the-changing-chicken-chooks-cooks-and-culinary-culture-by-jane-dixon-sydney-university-of-new-south-wales-press-2002-pp-ix-211', 59.166666666666664, 27739)",bonanno-the-changing-chicken-chooks-cooks-and-culinary-culture-by-jane-dixon-sydney-university-of-new-south-wales-press-2002-pp-ix-211,59.166666666666664,27739,"('linders-constructing-rsi-belief-and-desire-by-yolande-lucire-sydney-university-of-new-south-wales-press-2003-pp-224-49-95', 58.14977973568283, 27274)",linders-constructing-rsi-belief-and-desire-by-yolande-lucire-sydney-university-of-new-south-wales-press-2003-pp-224-49-95,58.14977973568283,27274,"('green-peter-hennen-faeries-bears-and-leathermen-university-of-chicago-press', 53.03867403314917, 213303)"
22,collins-randall-2014-interaction-ritual-chains-princeton-n-j-princeton-university-press,"('barbalet-emotional-payoffs-of-ritual-about-randall-collins-interaction-ritual-chains-princeton-princeton-university-press-2005', 71.36150234741784, 181406)",barbalet-emotional-payoffs-of-ritual-about-randall-collins-interaction-ritual-chains-princeton-princeton-university-press-2005,71.36150234741784,181406,"('fine-interaction-ritual-chains-by-randall-collins-princeton-university-press-2004-439-pp', 69.71428571428571, 17685)",fine-interaction-ritual-chains-by-randall-collins-princeton-university-press-2004-439-pp,69.71428571428571,17685,"('münch-interaction-ritual-chains-by-randall-collins-princeton-n-j-princeton-university-press-2004-pp-xxii-439-45-00', 67.66169154228857, 25435)"
23,conrad-peter-1997-its-boring-notes-on-the-meanings-of-boredom-in-everyday-life-qualitative-sociology-20-4-465-75,"('erdemir-book-review-the-meanings-of-social-life-a-cultural-sociology', 55.55555555555556, 132675)",erdemir-book-review-the-meanings-of-social-life-a-cultural-sociology,55.55555555555556,132675,"('semashko-book-review-the-meanings-of-social-life-a-cultural-sociology', 53.03867403314917, 132897)",semashko-book-review-the-meanings-of-social-life-a-cultural-sociology,53.03867403314917,132897,"('daloz-book-review-the-meanings-of-social-life-a-cultural-sociology', 52.80898876404494, 132640)"
24,crockett-amanda-c-samantha-k-myhre-and-paul-d-rokke-2015-boredom-proneness-and-emotion-regulation-predict-emotional-eating-journal-of-health-psychology-20-5-670-80,"('kleinman-against-the-neoliberal-steamroller-the-biosafety-protocol-and-the-social-regulation-of-agricultural-biotechnologies', 47.386759581881535, 21937)",kleinman-against-the-neoliberal-steamroller-the-biosafety-protocol-and-the-social-regulation-of-agricultural-biotechnologies,47.386759581881535,21937,"('roseneil-relational-persons-and-relational-processes-developing-the-notion-of-relationality-for-the-sociology-of-personal-life', 47.05882352941176, 67115)",roseneil-relational-persons-and-relational-processes-developing-the-notion-of-relationality-for-the-sociology-of-personal-life,47.05882352941176,67115,"('postill-andersson-d-e-and-j-p-h-poon-eds-2001-asia-pacific-transitions-basingstoke-palgrave-review-for-journal-of-comparative-sociology-isbn-0333803019-hb-75-00', 47.05882352941176, 227212)"
25,dahlen-eric-r-ryan-c-martin-katie-ragan-and-myndi-m-kuhlman-2004-boredom-proneness-in-anger-and-aggression-effects-of-impulsiveness-and-sensation-seeking-personality-and-individual-differences-37-8-1615-27,"('sion-book-review-pinch-franklin-c-allister-t-macintyre-phyllis-browne-and-alan-c-okros-eds-2006-challenge-and-change-in-the-military-gender-and-diversity-issues-kingston-ontario-canada-canadian-defence-academy-press', 48.09523809523809, 178379)",sion-book-review-pinch-franklin-c-allister-t-macintyre-phyllis-browne-and-alan-c-okros-eds-2006-challenge-and-change-in-the-military-gender-and-diversity-issues-kingston-ontario-canada-canadian-defence-academy-press,48.09523809523809,178379,"('defina-for-incapacitation-there-is-no-time-like-the-present-the-lagged-effects-of-prisoner-reentry-on-property-and-violent-crime-rates', 47.78761061946902, 91558)",defina-for-incapacitation-there-is-no-time-like-the-present-the-lagged-effects-of-prisoner-reentry-on-property-and-violent-crime-rates,47.78761061946902,91558,"('doran-intentions-to-make-sustainable-tourism-choices-do-value-orientations-time-perspective-and-efficacy-beliefs-explain-individual-differences', 47.70114942528736, 43057)"
26,darden-donna-k-1999-boredom-a-socially-disvalued-emotion-sociological-spectrum-19-1-13-37,"('darden-boredom-a-socially-disvalued-emotion', 65.15151515151516, 152904)",darden-boredom-a-socially-disvalued-emotion,65.15151515151516,152904,"('powell-social-theory-and-emotion-sociological-excursions', 52.41379310344827, 82588)",powell-social-theory-and-emotion-sociological-excursions,52.41379310344827,82588,"('michael-on-making-data-social-heterogeneity-in-sociological-practice', 52.22929936305732, 41709)"
27,degloma-thomas-2014-seeing-the-light-the-social-logic-of-personal-discovery-chicago-university-of-chicago-press,"('meanwell-seeing-the-light-the-social-logic-of-personal-discovery-by-thomas-degloma-chicago-university-of-chicago-press-2014-pp-x-243-30-00-paper', 73.72549019607844, 29851)",meanwell-seeing-the-light-the-social-logic-of-personal-discovery-by-thomas-degloma-chicago-university-of-chicago-press-2014-pp-x-243-30-00-paper,73.72549019607844,29851,"('summers-effler-seeing-the-light-the-social-logic-of-personal-discovery-by-thomas-degloma-university-of-chicago-press-2014-243-pp-30-paperback-90-cloth', 71.26436781609196, 20362)",summers-effler-seeing-the-light-the-social-logic-of-personal-discovery-by-thomas-degloma-university-of-chicago-press-2014-243-pp-30-paperback-90-cloth,71.26436781609196,20362,"('whelan-seeing-the-light-the-social-logic-of-personal-discovery', 68.20809248554913, 252737)"
28,deterding-nicole-m-and-mary-c-waters-2018-flexible-coding-of-in-depth-interviews-a-twenty-first-century-approach-sociological-methods-and-research-00491241,"('deterding-flexible-coding-of-in-depth-interviews-a-twenty-first-century-approach', 68.08510638297872, 7214)",deterding-flexible-coding-of-in-depth-interviews-a-twenty-first-century-approach,68.08510638297872,7214,"('reid-producing-knowledge-and-de-constructing-identities-a-critical-commentary-on-environmental-education-and-its-research', 50.72463768115942, 129830)",reid-producing-knowledge-and-de-constructing-identities-a-critical-commentary-on-environmental-education-and-its-research,50.72463768115942,129830,"('marsh-determinants-of-income-inequality-in-the-early-twenty-first-century-a-cross-national-study', 49.40239043824701, 226787)"
29,18799377,"('-contents-1992-2003', 29.629629629629626, 189360)",-contents-1992-2003,29.629629629629626,189360,"('-reviewers-1997-2000', 28.57142857142857, 157125)",-reviewers-1997-2000,28.57142857142857,157125,"('-index-volume-10-1997', 27.586206896551722, 160117)"
30,doharty-nadena-2020-the-angry-black-woman-as-intellectual-bondage-being-strategically-emotional-on-the-academic-plantation-race-ethnicity-and-education,"('joseph-researching-teenage-girls-and-schooling-in-malaysia-bridging-theoretical-issues-of-gender-identity-culture-ethnicity-and-education', 53.47222222222222, 194625)",joseph-researching-teenage-girls-and-schooling-in-malaysia-bridging-theoretical-issues-of-gender-identity-culture-ethnicity-and-education,53.47222222222222,194625,"('sutton-who-gets-ahead-and-who-falls-behind-during-the-transition-to-high-school-academic-performance-at-the-intersection-of-race-ethnicity-and-gender', 52.0, 49813)",sutton-who-gets-ahead-and-who-falls-behind-during-the-transition-to-high-school-academic-performance-at-the-intersection-of-race-ethnicity-and-gender,52.0,49813,"('sutton-who-gets-ahead-and-who-falls-behind-during-the-transition-to-high-school-academic-performance-at-the-intersection-of-race-ethnicity-and-gender', 52.0, 50565)"
31,23-4-548-62,"('-anduli-18-2019', 38.46153846153846, 234702)",-anduli-18-2019,38.46153846153846,234702,"('-volume-8-issue-2', 35.71428571428571, 165764)",-volume-8-issue-2,35.71428571428571,165764,"('-index-to-volume-54-2006', 34.285714285714285, 141272)"
32,elpidorou-andreas-2018-the-bored-mind-is-a-guiding-mind-toward-a-regulatory-theory-of-boredom-phenomenology-and-the-cognitive-sciences-17-3-455-84,"('greene-three-ideologies-of-individualism-toward-assimilating-a-theory-of-individualisms-and-their-consequences', 49.21875, 147469)",greene-three-ideologies-of-individualism-toward-assimilating-a-theory-of-individualisms-and-their-consequences,49.21875,147469,"('mackie-how-norms-are-enforced-christine-horne-the-rewards-of-punishment-a-relational-theory-of-norm-enforcement-stanford-stanford-university-press-2009', 48.484848484848484, 181775)",mackie-how-norms-are-enforced-christine-horne-the-rewards-of-punishment-a-relational-theory-of-norm-enforcement-stanford-stanford-university-press-2009,48.484848484848484,181775,"('eloire-frances-1983-turn-toward-austerity-as-a-regulatory-process-study-of-an-economic-policy-decision', 48.38709677419355, 238626)"
33,epstein-terrie-2010-interpreting-national-history-race-identity-and-pedagogy-in-classrooms-and-communities-new-york-routledge,"('fiske-values-and-interests-in-conflict-resolution-resolving-identity-based-conflict-in-nations-organizations-and-communities-by-jay-rothman', 54.54545454545454, 113034)",fiske-values-and-interests-in-conflict-resolution-resolving-identity-based-conflict-in-nations-organizations-and-communities-by-jay-rothman,54.54545454545454,113034,"('finger-review-of-e-frances-king-material-religion-and-popular-culture-london-new-york-routledge-2010', 54.222222222222214, 165645)",finger-review-of-e-frances-king-material-religion-and-popular-culture-london-new-york-routledge-2010,54.222222222222214,165645,"('baker-book-review-gardaphe-fred-l-2006-from-wiseguys-to-wise-men-the-gangster-and-italian-american-masculinities-new-york-routledge', 53.125, 87568)"
34,erasmus-zimitri-2001-coloured-by-history-shaped-by-place-new-perspectives-on-coloured-identites-in-cape-town-cape-town-kwela-books,"('ward-thinking-outside-the-berry-boxes-new-perspectives-on-identity-acculturation-and-intercultural-relations', 51.26050420168067, 75313)",ward-thinking-outside-the-berry-boxes-new-perspectives-on-identity-acculturation-and-intercultural-relations,51.26050420168067,75313,"('ferguson-book-review-heiko-motschenbacher-new-perspectives-on-english-as-a-european-lingua-franca', 51.10132158590308, 124179)",ferguson-book-review-heiko-motschenbacher-new-perspectives-on-english-as-a-european-lingua-franca,51.10132158590308,124179,"('albrecht-the-struggle-to-be-an-icon-iranian-womens-perspectives-on-female-identities-in-transnational-contexts', 50.83333333333333, 262440)"
35,erll-astrid-2020-afterword-memory-worlds-in-times-of-corona-memory-studies-13-5-861-74,"('pearce-afterword-terf-wars-in-the-time-of-covid-19', 54.41176470588236, 98432)",pearce-afterword-terf-wars-in-the-time-of-covid-19,54.41176470588236,98432,"('gensburger-halbwachs-studies-in-collective-memory-a-founding-text-for-contemporary-memory-studies', 52.459016393442624, 214771)",gensburger-halbwachs-studies-in-collective-memory-a-founding-text-for-contemporary-memory-studies,52.459016393442624,214771,"('feldman-savelsberg-afterword-to-mothering-practices-in-times-of-legal-precarity', 49.696969696969695, 97101)"
36,evans-louwanda-and-wendy-leo-moore-2015-impossible-burdens-white-institutions-emotional-labor-and-micro-resistance-social-problems-62-3-439-54,"('evans-impossible-burdens-white-institutions-emotional-labor-and-micro-resistance', 72.07207207207207, 49242)",evans-impossible-burdens-white-institutions-emotional-labor-and-micro-resistance,72.07207207207207,49242,"('norman-sport-in-the-underlife-of-a-total-institution-social-control-and-resistance-in-canadian-prisons', 50.81967213114754, 116000)",norman-sport-in-the-underlife-of-a-total-institution-social-control-and-resistance-in-canadian-prisons,50.81967213114754,116000,"('dubet-claude-dubar-la-crise-des-identites-linterpretation-dune-mutation-puf-coll-lien-social-paris-2000-239-p', 49.40239043824701, 259347)"
37,fields-jessica-martha-copp-and-sherryl-kleinman-2006-symbolic-interactionism-inequality-and-emotions-pp-155-78-in-handbook-of-the-sociology-of-emotions-edited-by-jan-e-stets-and-jonathan-h-turner-new-york-springer-boredom-as-a-racialized-emotion,"('simonova-the-study-of-emotions-as-an-area-of-interdisciplinary-cooperation-the-history-and-sociology-of-emotions-in-the-search-for-the-explanation-of-emotional-turn-on-the-russian-translation-of-the-jan-plampers-the-history-of-emotions', 47.5, 233318)",simonova-the-study-of-emotions-as-an-area-of-interdisciplinary-cooperation-the-history-and-sociology-of-emotions-in-the-search-for-the-explanation-of-emotional-turn-on-the-russian-translation-of-the-jan-plampers-the-history-of-emotions,47.5,233318,"('wickham-crowley-irregular-armed-forces-and-their-role-in-politics-and-state-formation-edited-by-diane-e-davis-and-anthony-w-pereira-new-york-cambridge-university-press-2004-pp-viii-419-65-00', 46.4367816091954, 26385)",wickham-crowley-irregular-armed-forces-and-their-role-in-politics-and-state-formation-edited-by-diane-e-davis-and-anthony-w-pereira-new-york-cambridge-university-press-2004-pp-viii-419-65-00,46.4367816091954,26385,"('kravdal-large-and-growing-social-inequality-in-mortality-in-norway-the-combined-importance-of-marital-status-and-own-and-spouse-s-education', 46.354166666666664, 88966)"
38,fine-gary-alan-1996-reputational-entrepreneurs-and-the-memory-of-incompetence-melting-supporters-partisan-warriors-and-images-of-president-harding-american,"('fine-reputational-entrepreneurs-and-the-memory-of-incompetence-melting-supporters-partisan-warriors-and-images-of-president-harding', 91.6083916083916, 24640)",fine-reputational-entrepreneurs-and-the-memory-of-incompetence-melting-supporters-partisan-warriors-and-images-of-president-harding,91.6083916083916,24640,"('yetim-the-cultural-orientations-of-entrepreneurs-and-employees-job-satisfaction-the-turkish-small-and-medium-sized-enterprises-smes-case', 52.23367697594501, 57643)",yetim-the-cultural-orientations-of-entrepreneurs-and-employees-job-satisfaction-the-turkish-small-and-medium-sized-enterprises-smes-case,52.23367697594501,57643,"('laki-hungarian-grand-entrepreneurs-in-the-system-of-national-cooperation-the-chances-of-civil-bourgeois-development-after-2010-an-extension-of-research', 51.63398692810457, 238961)"
39,journal-of-sociology-101-5-1159-93,"('-journal-of-historical-sociology', 60.60606060606061, 231799)",-journal-of-historical-sociology,60.60606060606061,231799,"('-the-british-journal-of-sociology', 59.70149253731343, 125683)",-the-british-journal-of-sociology,59.70149253731343,125683,"('jstor-annual-review-of-sociology', 57.57575757575757, 4403)"
