,0
W4229617755,"Statistical relationships between downloads from ScienceDirect of documents in Elsevier's electronic journal Tetrahedron Letters and citations to these documents recorded in journals processed by the Institute for Scientific Information/Thomson Scientific for the Science Citation Index (SCI) are examined. A synchronous approach revealed that downloads and citations show different patterns of obsolescence of the used materials. The former can be adequately described by a model consisting of the sum of two negative exponential functions, representing an ephemeral and a residual factor, whereas the decline phase of the latter conforms to a simple exponential function with a decay constant statistically similar to that of the downloads residual factor. A diachronous approach showed that, as a cohort of documents grows older, its download distribution becomes more and more skewed, and more statistically similar to its citation distribution. A method is proposed to estimate the effect of citations upon downloads using obsolescence patterns. It was found that during the first 3 months after an article is cited, its number of downloads increased 25% compared to what one would expect this number to be if the article had not been cited. Moreover, more downloads of citing documents led to more downloads of the cited article through the citation. An analysis of 1,190 papers in the journal during a time interval of 2 years after publication date revealed that there is about one citation for every 100 downloads. A Spearman rank correlation coefficient of 0.22 was found between the number of times an article was downloaded and its citation rate recorded in the SCI. When initial downloads—defined as downloads made during the first 3 months after publication—were discarded, the correlation raised to 0.35. However, both outcomes measure the joint effect of downloads upon citation and that of citation upon downloads. Correlating initial downloads to later citation counts, the correlation coefficient drops to 0.11. Findings suggest that initial downloads and citations relate to distinct phases in the process of collecting and processing relevant scientific information that eventually leads to the publication of a journal article."
W4291732787,"This book describes the progression and results of a decade-long program of experimental research on power in social exchange relations. Exchange theorists have traditionally excluded punishment and coercion from the scope of their analyses; but Molm examines whether exchange theory can be expanded to include reward and coercive power. Working within the framework of Emerson's power-dependence theory, but also drawing on the decision theory concepts of strategic action and loss aversion, Molm develops and tests a theory that emphasizes the interdependence of reward and coercive power. Her work shows that they are fundamentally different, not only in their effects on behavior, but also in the structural incentive to use power and the risks of power use. When exchanges are negotiated and secured by the 'shadow of the future,' rather than by binding agreements, dependence both encourages and constrains the use of coercion."
W2952984634,"For more than 40 years, the Institute for Scientific Information (ISI, now part of Thomson Reuters) produced the only available bibliographic databases from which bibliometricians could compile large-scale bibliometric indicators. ISI's citation indexes, now regrouped under the Web of Science (WoS), were the major sources of bibliometric data until 2004, when Scopus was launched by the publisher Reed Elsevier. For those who perform bibliometric analyses and comparisons of countries or institutions, the existence of these two major databases raises the important question of the comparability and stability of statistics obtained from different data sources. This paper uses macrolevel bibliometric indicators to compare results obtained from the WoS and Scopus. It shows that the correlations between the measures obtained with both databases for the number of papers and the number of citations received by countries, as well as for their ranks, are extremely high (R2 ≈ .99). There is also a very high correlation when countries' papers are broken down by field. The paper thus provides evidence that indicators of scientific production and citations at the country level are stable and largely independent of the database."
W2343014812,Data from the controversial website Sci-Hub reveal that the whole world turns to it for journal articles.
W3121567788,"An open-access journal allows free online access to its articles, obtaining revenue from fees charged to submitting authors or from institutional support. Using panel data on science journals, we are able to circumvent problems plaguing previous studies of the impact of open access on citations. In contrast to the huge effects found in these previous studies, we find a more modest effect: moving from paid to open access increases cites by 8% on average in our sample. The benefit is concentrated among top-ranked journals. In fact, open access causes a statistically significant reduction in cites to the bottom-ranked journals in our sample, leading us to conjecture that open access may intensify competition among articles for readers' attention, generating losers as well as winners. (JEL L17, O33)"
W2089123513,"Abstract The last few years have seen the emergence of several open access options in scholarly communication which can broadly be grouped into two areas referred to as ‘gold’ and ‘green’ open access (OA). In this article we review the literature examining the relationship between OA status and citation counts of scholarly articles. Early studies showed a correlation between the free online availability or OA status of articles and higher citation counts, and implied causality without due consideration of potential confounding factors. More recent investigations have dissected the nature of the relationship between article OA status and citations. Three non-exclusive postulates have been proposed to account for the observed citation differences between OA and non-OA articles: an open access postulate, a selection bias postulate, and an early view postulate. The most rigorous study to date (in condensed matter physics) showed that, after controlling for the early view postulate, the remaining difference in citation counts between OA and non-OA articles is explained by the selection bias postulate. No evidence was found to support the OA postulate per se; i.e. article OA status alone has little or no effect on citations. Further studies using a similarly rigorous approach are required to determine the generality of this finding."
W2100117397,"An analysis of 2, 765 articles published in four math journals from 1997 to 2005 indicate that articles deposited in the arXiv received 35% more citations on average than non-deposited articles (an advantage of about 1.1 citations per article), and that this difference was most pronounced for highly-cited articles. Open Access, Early View, and Quality Differential were examined as three non-exclusive postulates for explaining the citation advantage. There was little support for a universal Open Access explanation, and no empirical support for Early View. There was some inferential support for a Quality Differential brought about by more highly-citable articles being deposited in the arXiv. In spite of their citation advantage, arXiv-deposited articles received 23% fewer downloads from the publisher’s website (about 10 fewer downloads per article) in all but the most recent two years after publication. The data suggest that arXiv and the publisher’s website may be fulfilling distinct functional needs of the reader."
W2078310052,フロリダ昆虫学会ではその学会誌Florida Entomologistの印刷版下ファイルからPDFファイルを作成し，インターネットに無料でアクセス提供している。また添付資料や著者のWebサイトへのリンクをAuthorLinkとして著者に販売している。これらの経験から，学会はPDFによる電子別刷りを，速報を希望する論文著者に販売して得る収益により，すべての論文をインターネット上で電子アクセス提供できることを主張する。背景として学術雑誌発行の歴史と最近の定期刊行物の危機について解説している。
W2023783748,"In the past few years there has been an ongoing debate as to whether the proliferation of open access (OA) publishing would damage the peer review system and put the quality of scientific journal publishing at risk. Our aim was to inform this debate by comparing the scientific impact of OA journals with subscription journals, controlling for journal age, the country of the publisher, discipline and (for OA publishers) their business model. The 2-year impact factors (the average number of citations to the articles in a journal) were used as a proxy for scientific impact. The Directory of Open Access Journals (DOAJ) was used to identify OA journals as well as their business model. Journal age and discipline were obtained from the Ulrich's periodicals directory. Comparisons were performed on the journal level as well as on the article level where the results were weighted by the number of articles published in a journal. A total of 610 OA journals were compared with 7,609 subscription journals using Web of Science citation data while an overlapping set of 1,327 OA journals were compared with 11,124 subscription journals using Scopus data. Overall, average citation rates, both unweighted and weighted for the number of articles per journal, were about 30% higher for subscription journals. However, after controlling for discipline (medicine and health versus other), age of the journal (three time periods) and the location of the publisher (four largest publishing countries versus other countries) the differences largely disappeared in most subcategories except for journals that had been launched prior to 1996. OA journals that fund publishing with article processing charges (APCs) are on average cited more than other OA journals. In medicine and health, OA journals founded in the last 10 years are receiving about as many citations as subscription journals launched during the same period. Our results indicate that OA journals indexed in Web of Science and/or Scopus are approaching the same scientific impact and quality as subscription journals, particularly in biomedicine and for journals funded by article processing charges."
W2058954808,"Since 2004, mainstream scholarly publishers have been offering authors publishing in their subscription journals the option to free their individual articles from access barriers against a payment (hybrid OA). This has been marketed as a possible gradual transition path between subscription and open access to the scholarly journal literature, and the publishers have pledged to decrease their subscription prices in proportion to the uptake of the hybrid option. The number of hybrid journals has doubled in the past couple of years and is now over 4,300; the number of such articles was around 12,000 in 2011. On average only 1–2% of eligible authors utilize the OA option, due mainly to the generally high price level of typically 3,000 USD. There are, however, a few publishers and individual journals with a much higher uptake. This article takes a closer look at the development of hybrid OA and discusses, from an author-centric viewpoint, the possible reasons for the lack of success of this business model."
W2345375849,"HowOpenIsIt is a guide created by SPARC (Scholarly Publishing and Academic Resources Coalition), PLOS (Public Library of Science), and OASPA (Open Access Scholarly Publishers Association) to describe an array of policies a journal can have in the continuum between “Open” and “Closed.” The OAS Evaluation Tool uses the HowOpenIsIt guide to measure the degree of openness of journals of all kinds with scores between 0 and 100. A total of 1,005 journal samples, both OA and non-OA journals in various languages and from various parts of the world, were evaluated and scored with the OAS Evaluation Tool by a team of information professionals in 2015 based on the policies posted on journals' websites. This article reports the findings of the OAS evaluation."
W1997125517,"The Internet has profoundly changed the technical infrastructure for the publishing of scientific peer reviewed journals. The traditional business model of selling the content to subscribers is increasingly being challenged by Open Access journals, which are either run at low cost by voluntary academics or which sell dissemination services to authors. In addition authors in many fields are taking advantage of the legal possibilities of uploading free manuscript versions to institutional or subject-based repositories, in order to increase readership and impact. Construction Management is lagging behind many other fields in utilising the potential of the web for efficient dissemination results, in particular to academics outside the leading universities in industrialised countries. This study looks closer at the current publishing situation in construction management and related fields and compares empirical data about 16 OA journals and 16 traditional subscription journals. Of the articles published in 2011 in the subscription journals only 9 % could be found as OA copies. The overall OA availability (including article in OA journals) was 14 % for Construction Management and Economics and 29 for construction IT scholarship."
W2006972602,"This paper is the third in a series of studies emanating from the UK JISC- funded RoMEO Project (Rights Metadata for Open-archiving). It considers previous studies of the usage of electronic journal articles through a literature survey. It then reports on the results of a survey of 542 academic authors as to how they expected to use open-access research papers. This data is compared with results from the second of the RoMEO Studies series as to how academics wished to protect their open-access research papers. The ways in which academics expect to use open-access works (including activities, restrictions and conditions) are described. It concludes that academics-as-users do not expect to perform all the activities with openaccess research papers that academics-as-authors would allow. Thus the rights metadata proposed by the RoMEO Project would appear to meet the usage requirements of most academics."
W2040069617,"The Open Access movement of the past decade, and institutional repositories developed by universities and academic libraries as a part of that movement, have openly challenged the traditional scholarly communication system. This article examines the growth of repositories around the world, and summarizes a growing body of evidence of the response of academics to institutional repositories. It reports the findings of a national survey of academics which highlights the conflict between the principles and rewards of the traditional scholarly communication system, and the benefits of Open Access. The article concludes by suggesting ways in which academic libraries can alleviate the conflict between these two paradigms."
W2020807482,"As the number of Open Access (OA) journal articles increases dramatically, it is time to assess how journal article indexes, both free and subscription-based, retrieve and indicate OA full text. This study uses 471 samples of OA articles to compare OA article retrieval in Google Scholar, PubMed, and Scopus, with Scopus representing subscription-based journal indexes. This study divides journal articles into two categories: Gold OA and Green OA. Gold OA articles are published in journals that make all their articles freely available on the Internet, and all other OA articles are placed in the Green OA category. The study finds that all three indexes can indicate Gold OA availability in one way or another, but they differ dramatically when indicating Green OA availability: Google Scholar can offer free full-text indicators for 96 percent of Green OA articles, PubMed's rate is 29 percent, and Scopus's is zero. Subscription-based journal indexes and OpenURL link resolvers are, at present, incapable of indicat..."
W2048185449,"Background Articles whose authors have supplemented subscription-based access to the publisher's version by self-archiving their own final draft to make it accessible free for all on the web (“Open Access”, OA) are cited significantly more than articles in the same journal and year that have not been made OA. Some have suggested that this “OA Advantage” may not be causal but just a self-selection bias, because authors preferentially make higher-quality articles OA. To test this we compared self-selective self-archiving with mandatory self-archiving for a sample of 27,197 articles published 2002–2006 in 1,984 journals. Methdology/Principal Findings The OA Advantage proved just as high for both. Logistic regression analysis showed that the advantage is independent of other correlates of citations (article age; journal impact factor; number of co-authors, references or pages; field; article type; or country) and highest for the most highly cited articles. The OA Advantage is real, independent and causal, but skewed. Its size is indeed correlated with quality, just as citations themselves are (the top 20% of articles receive about 80% of all citations). Conclusions/Significance The OA advantage is greater for the more citable articles, not because of a quality bias from authors self-selecting what to make OA, but because of a quality advantage, from users self-selecting what to use and cite, freed by OA from the constraints of selective accessibility to subscribers only. It is hoped that these findings will help motivate the adoption of OA self-archiving mandates by universities, research institutions and research funders."
W2322381034,"<ns4:p>Ongoing debates surrounding Open Access to the scholarly literature are multifaceted and complicated by disparate and often polarised viewpoints from engaged stakeholders. At the current stage, Open Access has become such a global issue that it is critical for all involved in scholarly publishing, including policymakers, publishers, research funders, governments, learned societies, librarians, and academic communities, to be well-informed on the history, benefits, and pitfalls of Open Access. In spite of this, there is a general lack of consensus regarding the potential pros and cons of Open Access at multiple levels. This review aims to be a resource for current knowledge on the impacts of Open Access by synthesizing important research in three major areas: academic, economic and societal. While there is clearly much scope for additional research, several key trends are identified, including a broad citation advantage for researchers who publish openly, as well as additional benefits to the non-academic dissemination of their work. The economic impact of Open Access is less well-understood, although it is clear that access to the research literature is key for innovative enterprises, and a range of governmental and non-governmental services. Furthermore, Open Access has the potential to save both publishers and research funders considerable amounts of financial resources, and can provide some economic benefits to traditionally subscription-based journals. The societal impact of Open Access is strong, in particular for advancing citizen science initiatives, and leveling the playing field for researchers in developing countries. Open Access supersedes all potential alternative modes of access to the scholarly literature through enabling unrestricted re-use, and long-term stability independent of financial constraints of traditional publishers that impede knowledge sharing. However, Open Access has the potential to become unsustainable for research communities if high-cost options are allowed to continue to prevail in a widely unregulated scholarly publishing market. Open Access remains only one of the multiple challenges that the scholarly publishing system is currently facing. Yet, it provides one foundation for increasing engagement with researchers regarding ethical standards of publishing and the broader implications of 'Open Research'.</ns4:p>"
W2124116191,"Editor's Summary Since the 1990s, the aim of open access (OA) has been to enhance scholarly communication by delivering scientific publications on the Internet without fees or restrictions. Adoption of the gold model of OA, electronic access to publishers' scientific journals at no cost, has been slow in the United States and the United Kingdom, even if authors pay an extra OA charge. The more successful route has been green OA, publishing the original or modified versions on authors' personal home pages or in institutional or subject-specific repositories. In a 2008 sample of science disciplines, Bjork found 20.4% were provided OA, with 8.5% on publishers' sites. For information systems articles published in 2009, 21.3% were OA but a mere 0.6% on publishers' sites, the gold model. Of OA articles, 8% were published on domain repositories, 32.7% in institutional repositories, and 59% on other websites. Broad expansion of OA will depend on greater author awareness and wider platform access, and publishers must adopt international bibliographic metadata and standardized author identification."
W2950890478,"Recently we proposed a model in which when a scientist writes a manuscript, he picks up several random papers, cites them, and also copies a fraction of their references. The model was stimulated by our finding that a majority of scientific citations are copied from the lists of references used in other papers. It accounted quantitatively for several properties of empirically observed distribution of citations; however, important features such as power-law distributions of citations to papers published during the same year and the fact that the average rate of citing decreases with aging of a paper were not accounted for by that model. Here, we propose a modified model: When a scientist writes a manuscript, he picks up several random recent papers, cites them, and also copies some of their references. The difference with the original model is the word recent. We solve the model using methods of the theory of branching processes, and find that it can explain the aforementioned features of citation distribution, which our original model could not account for. The model also can explain “sleeping beauties in science;” that is, papers that are little cited for a decade or so and later “awaken” and get many citations. Although much can be understood from purely random models, we find that to obtain a good quantitative agreement with empirical citation data, one must introduce Darwinian fitness parameter for the papers."
W2566143661,Libraries pursue alternative delivery routes after licence negotiations break down.
W2069656088,"Objectives To investigate whether longitudinal structural network efficiency is associated with cognitive decline and whether baseline network efficiency predicts mortality in cerebral small vessel disease (SVD). Methods A prospective, single-centre cohort consisting of 277 non-demented individuals with SVD was conducted. In 2011 and 2015, all participants were scanned with MRI and underwent neuropsychological assessment. We computed network properties using graph theory from probabilistic tractography and calculated changes in psychomotor speed and overall cognitive index. Multiple linear regressions were performed, while adjusting for potential confounders. We divided the group into mild-to-moderate white matter hyperintensities (WMH) and severe WMH group based on median split on WMH volume. Results The decline in global efficiency was significantly associated with a decline in psychomotor speed in the group with severe WMH (β=0.18, p=0.03) and a trend with change in cognitive index (β=0.14, p=0.068), which diminished after adjusting for imaging markers for SVD. Baseline global efficiency was associated with all-cause mortality (HR per decrease of 1 SD 0.43, 95% CI 0.23 to 0.80, p=0.008, C-statistic 0.76). Conclusion Disruption of the network efficiency, a metric assessing the efficiency of network information transfer, plays an important role in explaining cognitive decline in SVD, which was however not independent of imaging markers of SVD. Furthermore, baseline network efficiency predicts risk of mortality in SVD that may reflect the global health status of the brain in SVD. This emphasises the importance of structural network analysis in the context of SVD research and the use of network measures as surrogate markers in research setting."
W1985814542,"The extent to which scholarly literature can be openly accessed and freely downloaded on the Internet varies greatly depending on the discipline. This article assesses the current state of open access in the fields of business and management. Google was used to search for free versions of articles from a sample of articles published in early 2009 in a broad array of business and management journals. Free versions of 36% of the articles included in this study were identified, available from a wide variety of websites, including repositories, author profile pages, open access journals, and more."
W2231201268,"This study aims to shed light on the implementation of the digital object identifier (DOI) in the two most important multidisciplinary databases, namely Web of Science Core Collection and Scopus, within the last decade (2005–2014). The results show a generally increased percentage of items with DOI in all the disciplines in both databases, which provide very similar numbers and trends. While the percentage of citable items with a DOI has already reached 90% in the Sciences and the Social Sciences in 2014, it has remained much lower in the Arts & Humanities, exceeding 50% only since 2013. The observed values for Books and Proceedings are even lower despite the importance of these document types, particularly for the Social Sciences and the Arts & Humanities. The fact that there are still journals with a large number of items still lacking DOIs in 2014 should be alarming for the corresponding editors and should give them reason to enhance the formal quality and visibility of their journals. Finally, scientists are also encouraged to review their publication strategies and to favour publication channels with established DOI assignments."
W2096345420,"<h3>Abstract</h3> <b>Objectives</b> To determine how often reprints of scientific publications are shared online, whether journal readership level is a predictor, how the amount of file sharing changes with the age of the article, and to what degree open access publications are shared on non-journal websites. <b>Design</b> The internet was searched using an application programming interface to Google, a popular and freely available search engine. <b>Main outcome measures</b> The proportion of reprints of journal articles published between 1994 and 2004 from within 13 subscription based and four open access journals that could be located online at non-journal websites. <b>Results</b> The probability that an article could be found online at a non-journal website correlated with the journal impact factor and the time since initial publication. Papers from higher impact journals and more recent articles were more likely to be located. On average, for the high impact journal articles published in 2003, over a third could be located at non-journal websites. Similar trends were observed for the delayed or full open access publications. <b>Conclusions</b> Decentralised sharing of scientific reprints through the internet creates a degree of de facto open access that, though highly incomplete in its coverage, is none the less biased towards publications of higher popular demand."
W2054299130,"Digital repositories have been with us for more than a decade, and despite the considerable media and conference attention they engender, we know very little about their use by academics. This paper sets out to address this by reporting on how well they are used, what they are used for, what researchers' think of them, and where they thought they were going. Nearly 1,700 scientific researchers, mostly physical scientists, responded to an international survey of digital repositories, making it the largest survey of its kind. High deposit rates were found and mandates appear to be working, especially with younger researchers. Repositories have made significant inroads in terms of impact and use despite, in the case of institutional repositories, the very limited resources deployed. Subject repositories, like arXiv and PubMed Central, have certainly come of age but institutional repositories probably have not come of age yet although there are drivers in place which, in theory anyway, are moving them towards early adulthood."
W2020123068,"Carnegie Mellon faculty Web pages and publisher policies were examined to understand self-archiving practice. The breadth of adoption and depth of commitment are not directly correlated within the disciplines. Determining when self-archiving has become a habit is difficult. The opportunity to self-archive far exceeds the practice, and much of what is self-archived is not aligned with publisher policy. Policy appears to influence neither the decision to self-archive nor the article version that is self-archived. Because of the potential legal ramifications, faculty must be convinced that copyright law and publisher policy are important and persuaded to act on that conviction."
W2010041172,"Surveys at five US universities show that faculty read articles for research, teaching, writing, and other purposes; the largest number of readings is for research. The time spent reading scholarly articles (an estimated average of 132 hours and 240 articles per year) demonstrates their value to faculty's work; over one-third of readings are reported to be absolutely essential, and to affect the reader's purpose in many ways, including helping to improve results, or to broaden or change the focus. Faculty prefer print for personal subscriptions, although library electronic collections provide a majority of readings, and most readings from library collections are from electronic sources; older articles are also more commonly from electronic library collections. Faculty use a variety of means to find articles, including browsing and searching, the latter particularly for research purposes, and to locate older articles. Faculty members who publish more, or who have won awards, read more articles on average than their less productive or successful colleagues."
W2587705861,"Key points
The debate about open access has until now focused on the gold (journals) versus the green route (manuscript self-archival).
Recently an even more disruptive form of OA has emerged, in the form of illegal article copies retrievable from academic social networks or pirate sites.
Illegal, or “black open access”, provides access to a large part of the pay-walled article output which cannot be found in repositories."
W2951351472,"In this article, we analyze the citations to articles published in 11 biological and medical journals from 2003 to 2007 that employ author-choice open access models. Controlling for known explanatory predictors of citations, only 2 of the 11 journals show positive and significant open access effects. Analyzing all journals together, we report a small but significant increase in article citations of 17%. In addition, there is strong evidence to suggest that the open access advantage is declining by about 7% per year, from 32% in 2004 to 11% in 2007."
W2089604928,"Open access (OA) to the research literature has the potential to accelerate recognition and dissemination of research findings, but its actual effects are controversial. This was a longitudinal bibliometric analysis of a cohort of OA and non-OA articles published between June 8, 2004, and December 20, 2004, in the same journal (PNAS: Proceedings of the National Academy of Sciences). Article characteristics were extracted, and citation data were compared between the two groups at three different points in time: at ""quasi-baseline"" (December 2004, 0-6 mo after publication), in April 2005 (4-10 mo after publication), and in October 2005 (10-16 mo after publication). Potentially confounding variables, including number of authors, authors' lifetime publication count and impact, submission track, country of corresponding author, funding organization, and discipline, were adjusted for in logistic and linear multiple regression models. A total of 1,492 original research articles were analyzed: 212 (14.2% of all articles) were OA articles paid by the author, and 1,280 (85.8%) were non-OA articles. In April 2005 (mean 206 d after publication), 627 (49.0%) of the non-OA articles versus 78 (36.8%) of the OA articles were not cited (relative risk = 1.3 [95% Confidence Interval: 1.1-1.6]; p = 0.001). 6 mo later (mean 288 d after publication), non-OA articles were still more likely to be uncited (non-OA: 172 [13.6%], OA: 11 [5.2%]; relative risk = 2.6 [1.4-4.7]; p < 0.001). The average number of citations of OA articles was higher compared to non-OA articles (April 2005: 1.5 [SD = 2.5] versus 1.2 [SD = 2.0]; Z = 3.123; p = 0.002; October 2005: 6.4 [SD = 10.4] versus 4.5 [SD = 4.9]; Z = 4.058; p < 0.001). In a logistic regression model, controlling for potential confounders, OA articles compared to non-OA articles remained twice as likely to be cited (odds ratio = 2.1 [1.5-2.9]) in the first 4-10 mo after publication (April 2005), with the odds ratio increasing to 2.9 (1.5-5.5) 10-16 mo after publication (October 2005). Articles published as an immediate OA article on the journal site have higher impact than self-archived or otherwise openly accessible OA articles. We found strong evidence that, even in a journal that is widely available in research libraries, OA articles are more immediately recognized and cited by peers than non-OA articles published in the same journal. OA is likely to benefit science by accelerating dissemination and uptake of research findings."
